code,title,관객수,매출액,year,genre,down
62328,설국열차,9349993,67010087500,2013,"['SF', '액션', '드라마']",0
93728,관상,9134581,66005427500,2013,['드라마'],0
70254,아이언맨3,9001331,70806364000,2013,"['SF', '모험', '액션']",0
92575,은밀하게위대하게,6959083,48700887413,2013,"['액션', '드라마', '코미디']",0
101901,변호인,5687047,40953398000,2013,['드라마'],0
102824,숨바꼭질,5604103,39602977500,2013,['스릴러'],0
99794,더테러라이브,5584139,39869706381,2013,"['스릴러', '드라마']",0
98146,감시자들,5508017,39380162179,2013,"['범죄', '액션', '스릴러']",0
51777,월드워Z,5237525,38555356000,2013,"['드라마', '스릴러', 'SF', '액션', '모험']",0
104437,스파이,3435802,24509278305,2013,['코미디'],0
82080,스파이,3435802,24509278305,2013,"['코미디', '액션']",0
117374,그래비티,3194693,31214018600,2013,['멜로/로맨스'],0
47370,그래비티,3194693,31214018600,2013,"['SF', '드라마', '미스터리', '스릴러']",0
117113,감기,3117859,21774884000,2013,['다큐멘터리'],0
72522,감기,3117859,21774884000,2013,"['드라마', '모험', '액션']",0
95873,토르:다크월드,3039889,22525808500,2013,"['액션', '모험', '판타지']",0
95503,레드:더레전드,3004649,21511371970,2013,"['액션', '코미디', '범죄']",0
103271,친구2,2969900,21795237513,2013,"['느와르', '액션']",0
92075,어바웃타임,2856065,20908973000,2013,"['멜로/로맨스', '코미디']",0
92011,나우유씨미:마술사기단,2718227,19146691869,2013,"['범죄', '스릴러', '미스터리']",0
103535,소원,2711083,18529862600,2013,['드라마'],0
86867,퍼시픽림,2539113,20477374512,2013,"['액션', 'SF', '모험']",0
98467,화이:괴물을삼킨아이,2394453,17695412795,2013,"['액션', '스릴러']",0
92823,컨저링,2262758,16353225777,2013,"['공포', '스릴러']",0
68196,맨오브스틸,2182227,17092964063,2013,"['액션', '모험', '판타지', 'SF']",0
93028,용의자,2176752,15629492500,2013,"['액션', '드라마']",0
74566,호빗:스마우그의폐허,2115878,16564184549,2013,"['판타지', '모험', '드라마']",0
97826,터보,1924414,13116737000,2013,['애니메이션'],0
72405,지.아이.조2,1855917,14457048500,2013,"['액션', '모험', 'SF', '스릴러']",0
91696,분노의질주:더맥시멈,1790916,13210338042,2013,"['액션', '모험', '범죄']",0
96961,집으로가는길,1763231,12373339745,2013,['드라마'],0
74565,스타트렉다크니스,1605271,12964828000,2013,"['액션', '모험', 'SF']",0
85633,오블리비언,1515356,11165841500,2013,"['액션', 'SF']",0
88461,위대한개츠비,1445248,10581329643,2013,"['드라마', '멜로/로맨스']",0
79102,다이하드:굿데이투다이,1438056,10825703000,2013,"['액션', '범죄', '스릴러']",0
75397,미스터고,1328888,9337976000,2013,"['드라마', '코미디', '액션']",0
104612,결혼전야,1212843,8434175719,2013,"['멜로/로맨스', '코미디']",0
98970,깡철이,1209363,8572344462,2013,['가족'],0
161947,엘리시움,1207732,9017994500,2013,['드라마'],0
56247,엘리시움,1207732,9017994500,2013,"['SF', '액션', '드라마']",0
96917,더웹툰:예고살인,1201457,8537683070,2013,"['공포', '스릴러']",0
92047,웜바디스,1169839,8361708124,2013,"['코미디', '공포', '멜로/로맨스']",0
97693,고령화가족,1141222,8169492153,2013,['드라마'],0
94170,헝거게임:캣칭파이어,1125739,7850816000,2013,"['판타지', '액션']",0
72270,더울버린,1075333,7849518000,2013,"['SF', '액션']",0
95515,동창생,1048280,7010197126,2013,"['액션', '드라마']",0
96325,에픽:숲속의전설,978785,6748072000,2013,"['애니메이션', '모험']",0
92176,슈퍼배드2,962862,6605655500,2013,"['애니메이션', '코미디', '가족']",0
73418,잭더자이언트킬러,956154,7376481000,2013,"['모험', '드라마', '판타지']",0
79435,크루즈패밀리,941824,6540951500,2013,"['애니메이션', '모험', '코미디', '가족']",0
87216,개구쟁이스머프2,921788,5993979500,2013,"['애니메이션', '가족']",0
85857,열한시,870785,6097792000,2013,['스릴러'],0
75415,몬스터대학교,870605,5879223500,2013,"['애니메이션', '모험', '코미디']",0
100950,하늘에서음식이내린다면2,797850,5411562500,2013,"['애니메이션', '코미디', '가족', '판타지']",0
93727,더파이브,731212,5343797000,2013,"['스릴러', '드라마']",0
101700,인시디어스:두번째집,577748,4001137000,2013,"['공포', '스릴러']",0
84216,섀도우헌터스:뼈의도시,571074,4034176500,2013,"['판타지', '액션', '모험', '드라마']",0
95877,화이트하우스다운,569500,4015707500,2013,"['액션', '드라마']",0
90597,애프터어스,537920,3831856167,2013,"['SF', '액션', '모험']",0
92533,사이코메트리,534273,3978495129,2013,['미스터리'],0
93158,퍼시잭슨과괴물의바다,519584,3791349609,2013,"['모험', '가족', '판타지']",0
100930,다이노소어어드벤처3D,507164,4140930000,2013,"['애니메이션', '액션', '가족']",0
104494,무서운이야기2,495522,3393667500,2013,['공포'],0
92526,캐치미,480434,3293262500,2013,"['코미디', '멜로/로맨스']",0
116251,썬더와마법저택,459295,3109415000,2013,"['애니메이션', '모험', '가족']",0
103762,노브레싱,451669,2991824739,2013,['드라마'],0
81315,창수,429141,3146542000,2013,['느와르'],0
92068,론레인저,387527,2750149500,2013,"['액션', '모험']",0
109004,스토커,378874,2829265174,2013,"['공포', '스릴러']",0
130737,스토커,378874,2829265174,2013,[],0
80465,스토커,378874,2829265174,2013,['스릴러'],0
86866,오즈그레이트앤드파워풀,350563,2886185000,2013,"['판타지', '모험', '액션']",0
96986,미나문방구,334323,2247017000,2013,"['드라마', '코미디']",0
92067,이스케이프플랜,292892,2106938679,2013,"['액션', '미스터리', '스릴러']",0
100801,롤러코스터,270148,1913087600,2013,['코미디'],0
134014,롤러코스터,270148,1913087600,2013,['드라마'],0
98997,밤의여왕,252475,1762892500,2013,"['멜로/로맨스', '코미디']",0
97696,캡틴필립스,241514,1679067434,2013,['드라마'],0
95531,잡스,225343,1594901136,2013,['드라마'],0
103343,세이빙산타,220748,1423164000,2013,"['애니메이션', '코미디', '가족', '뮤지컬']",0
114301,송포유,217314,1485573000,2013,[],0
100935,비행기,209653,1497601500,2013,"['애니메이션', '모험', '가족']",0
102309,비포미드나잇,203940,1488770000,2013,['멜로/로맨스'],0
99800,응징자,192347,1388412500,2013,"['액션', '스릴러']",0
100203,프리즈너스,188084,1374330500,2013,"['스릴러', '범죄', '드라마']",0
95876,백악관최후의날,181257,1272025000,2013,"['액션', '스릴러']",0
99738,톱스타,175153,1194185500,2013,['드라마'],0
97672,노리개,169064,1229614500,2013,['드라마'],0
89723,엔더스게임,166533,1229288000,2013,"['SF', '액션', '모험']",0
98404,히든카드,151476,1080423651,2013,"['범죄', '스릴러']",0
104331,블루재스민,140318,1030140900,2013,"['드라마', '코미디']",0
100953,더퍼지,137340,1032196000,2013,"['스릴러', '공포']",0
94136,카운슬러,133272,966623000,2013,"['스릴러', '범죄', '드라마']",0
92081,리딕,132059,927494000,2013,"['SF', '액션']",0
96372,러시:더라이벌,126994,931998000,2013,"['액션', '드라마']",0
93757,버틀러:대통령의집사,126822,884325000,2013,['드라마'],0
101669,극장판도라에몽:진구의비밀도구박물관,122172,780545500,2013,['애니메이션'],0
93017,배우는배우다,111948,811202000,2013,['드라마'],0
97858,월터의상상은현실이된다,107278,743042000,2013,"['모험', '드라마', '판타지']",0
103704,바람이분다,106439,747245500,2013,"['애니메이션', '드라마']",0
49501,일대종사,101568,734516000,2013,"['무협', '액션', '드라마']",0
80998,R.I.P.D.:알.아이.피.디.,101460,725451071,2013,"['액션', '코미디', '범죄', '판타지']",0
98996,마마,91143,662161500,2013,"['공포', '스릴러']",0
91700,더콜,88953,626952634,2013,"['범죄', '스릴러']",0
92825,뷰티풀크리처스,82995,582030544,2013,"['스릴러', '액션', '판타지', '멜로/로맨스']",0
112031,오싱,73064,471568500,2013,['드라마'],0
102241,투마더스,71264,497511000,2013,['드라마'],0
105389,우리선희,68697,529715900,2013,['드라마'],0
102098,토니스토리:깡통제국의비밀,67663,422490500,2013,['애니메이션'],0
78780,라스트스탠드,66790,492763000,2013,['액션'],0
106335,언어의정원,51426,385295200,2013,['애니메이션'],0
112666,블랙가스펠,50985,351611500,2013,['드라마'],0
103719,그렇게아버지가된다,49287,371549562,2013,"['드라마', '가족']",0
97652,뜨거운안녕,47105,315291000,2013,['드라마'],0
98430,적인걸2:신도해왕의비밀,47060,329905000,2013,"['미스터리', '액션', '범죄']",0
102683,글래디에이터:로마영웅탄생의비밀3D,44441,300235500,2013,"['애니메이션', '액션', '모험']",0
100100,드래곤볼Z:신들의전쟁,44231,292117500,2013,"['애니메이션', '액션', '모험', 'SF', '판타지']",0
89729,호스트,42972,299706000,2013,"['SF', '멜로/로맨스', '판타지']",0
101062,스니치,41480,288292500,2013,"['액션', '드라마', '스릴러']",0
99799,세이프헤이븐,40813,288909000,2013,"['멜로/로맨스', '서스펜스', '드라마', '미스터리']",0
71150,끝과시작,38734,274332000,2013,"['멜로/로맨스', '드라마']",0
114390,사이드이펙트,37158,258850000,2013,['드라마'],0
91074,사이드이펙트,37158,258850000,2013,"['스릴러', '범죄', '드라마']",0
97856,저스틴,36676,237729500,2013,"['애니메이션', '모험']",0
103781,뫼비우스,35348,255508579,2013,['드라마'],0
87306,빅웨딩,33993,231885500,2013,"['멜로/로맨스', '코미디']",0
107464,꼭두각시,31713,227941500,2013,"['공포', '스릴러']",0
105010,히어로,23841,158900000,2013,"['드라마', '코미디']",0
115689,히어로,23841,158900000,2013,['스릴러'],0
128948,히어로,23841,158900000,2013,['드라마'],0
106539,짓,23052,162540500,2013,"['서스펜스', '멜로/로맨스']",0
115298,잉여들의히치하이킹,22166,154223500,2013,['다큐멘터리'],0
96997,사이비,21864,162722300,2013,"['애니메이션', '스릴러']",0
84349,플레이스비욘드더파인즈,21747,161160500,2013,"['범죄', '드라마']",0
106850,천안함프로젝트,21316,158528500,2013,['다큐멘터리'],0
103259,소녀,20594,153877000,2013,"['미스터리', '멜로/로맨스', '스릴러']",0
125162,소녀,20594,153877000,2013,['드라마'],0
107917,완전소중한사랑,20303,129614500,2013,"['멜로/로맨스', '드라마']",0
118114,꼬마마녀요요와네네,20146,133369000,2013,"['애니메이션', '판타지', '모험']",0
87032,테이크다운,19415,135780500,2013,"['액션', '범죄', '스릴러']",0
111294,셰임,18415,139387500,2013,[],0
105002,이별계약,18301,131141000,2013,"['드라마', '멜로/로맨스']",0
97823,퍼펙트,18179,118503500,2013,"['액션', '스릴러', '범죄', '드라마']",0
105289,잉투기,17733,127244600,2013,"['액션', '드라마']",0
113874,호비와후후의대모험:무지개꽃을구하라,15050,97632500,2013,['애니메이션'],0
82796,쇼를사랑한남자,14888,114353792,2013,"['드라마', '멜로/로맨스']",0
111069,아티스트봉만대,14188,93817000,2013,['코미디'],0
113865,안녕?!오케스트라,14065,88222000,2013,['다큐멘터리'],0
91189,올이즈로스트,13363,98876000,2013,"['액션', '드라마', '모험']",0
75711,킥애스2:겁없는녀석들,12827,92028000,2013,"['액션', '코미디', '범죄']",0
92124,브로큰시티,12771,92263000,2013,"['범죄', '드라마', '스릴러']",0
113876,아유레디?,12767,87050500,2013,['다큐멘터리'],0
112094,극장판토리코:미식신의스페셜메뉴,12635,83206000,2013,"['애니메이션', '모험', '코미디', '판타지', '가족']",0
105298,소명하늘의별,11666,75082000,2013,['다큐멘터리'],0
104859,모래가흐르는강,10942,71055900,2013,['다큐멘터리'],0
101645,라스트엑소시즘:잠들지않는영혼,9442,65939500,2013,"['공포', '스릴러']",0
105364,메탈리카스루더네버,9438,104274800,2013,"['뮤지컬', '액션']",0
98487,킬링시즌,9240,61282000,2013,"['액션', '스릴러', '드라마', '전쟁']",0
109912,연애의기술,8913,64882000,2013,"['멜로/로맨스', '코미디']",0
112047,"가자,장미여관으로",8307,29545500,2013,"['드라마', '멜로/로맨스']",0
113855,원오브어카인드3D;G-DRAGON20131STWORLDTOUR,8038,90752500,2013,['공연실황'],0
93744,투건스,7806,49731500,2013,"['액션', '코미디', '드라마', '범죄']",0
111191,환상속의그대,7492,53282700,2013,[],0
90841,환상속의그대,7492,53282700,2013,['멜로/로맨스'],0
103177,글로리아,7047,52615400,2013,"['드라마', '코미디']",0
114533,글로리아,7047,52615400,2013,"['코미디', '드라마']",0
101618,저스트어이어,6312,43897500,2013,"['코미디', '멜로/로맨스']",0
93749,코알라,6287,47015000,2013,['드라마'],0
107919,영앤뷰티풀,6208,47008000,2013,['드라마'],0
107937,아무도머물지않았다,6100,46275000,2013,"['드라마', '미스터리']",0
106574,야관문:욕망의꽃,6085,42470500,2013,"['미스터리', '멜로/로맨스']",0
107423,미스체인지,6054,42659500,2013,['코미디'],0
101664,짚의방패,5870,38366000,2013,"['액션', '서스펜스', '스릴러']",0
103519,비히클19,5637,18346000,2013,"['범죄', '액션', '스릴러']",0
94185,말하는건축시티:홀,5619,41505800,2013,['다큐멘터리'],0
117264,비밀의화방,5530,4130000,2013,['멜로/로맨스'],0
117234,맛있는사랑공식-섹스,5460,8000000,2013,['멜로/로맨스'],0
117245,전망좋은하우스-관음적욕망,5390,3710000,2013,"['멜로/로맨스', '드라마']",0
93215,블링링,5141,38352500,2013,"['범죄', '코미디', '드라마']",0
95332,마세티킬즈,5115,17977500,2013,"['코미디', '액션', '범죄', '스릴러']",0
112248,붉은바캉스검은웨딩2,5100,10500000,2013,['스릴러'],0
113870,화려한외출,5067,13547000,2013,['드라마'],0
116238,논스톱:분노의질주,5063,10533000,2013,['액션'],0
114211,바캉스,5051,14674000,2013,['스릴러'],0
113869,섹스중독자들,5033,10579000,2013,['코미디'],0
99723,사랑해!진영아,4936,34675000,2013,['드라마'],0
117272,거짓말섹스가좋아2,4470,2900000,2013,"['멜로/로맨스', '드라마']",0
107472,노라노,4320,29373000,2013,['다큐멘터리'],0
108402,그강아지그고양이,4144,31268500,2013,['멜로/로맨스'],0
102085,디아틀로프,3907,26955500,2013,"['공포', '미스터리', 'SF', '스릴러']",0
101065,팬텀:라스트커맨더,3777,26765500,2013,"['액션', '스릴러']",0
