,year,title,genre,down
107992,2020,크루즈 패밀리 2 (The Croods 2),"['애니메이션', '모험', '코미디', '가족', '판타지']",0
123568,2020,디워: 미스테리즈 오브 더 드래곤  (D-War: Mysteries of the Dragon),"['판타지', 'SF', '모험', '액션']",0
164122,2020,신비한 동물사전 3 (Fantastic Beasts and Where to Find Them 3),"['모험', '가족', '판타지']",0
173124,2020,가디언즈 오브 갤럭시 VOL. 3 (Guardians of the Galaxy Vol. 3),"['액션', '모험', 'SF']",0
66141,2020,플래시 포인트 (Flashpoint),"['액션', '모험', '판타지', 'SF']",0
74031,2020,인디아나 존스 5 (Indiana Jones 5),"['액션', '모험']",0
74977,2020,아바타 2 (Avatar 2),"['액션', '모험', '판타지', 'SF']",0
