id,b1,b2,g1,g2,r1,r2
75395,24,159,25,169,28,186
79557,178,31,181,33,191,53
48246,134,35,143,35,156,37
41585,55,152,64,200,26,170
73477,183,66,185,71,185,68
74838,21,156,25,171,30,187
69989,32,178,24,171,23,158
74632,214,49,211,29,210,49
71628,138,37,156,48,168,57
74567,21,91,15,121,36,181
74627,109,8,169,15,212,37
68437,157,47,167,53,171,66
73508,160,18,163,16,164,15
82428,43,195,39,199,37,184
83017,37,188,39,201,36,200
79439,236,47,239,46,242,64
82219,61,160,48,164,50,171
65893,45,181,42,165,43,144
79105,184,33,195,38,212,47
76048,170,44,181,55,186,76
70995,160,38,182,33,177,27
74904,29,211,26,210,39,212
72562,173,56,177,43,174,44
79159,141,38,155,46,167,57
78161,135,39,161,48,199,70
79140,187,29,179,24,180,35
76051,142,26,176,40,197,60
76445,18,151,14,187,12,201
76455,201,60,195,78,173,67
85094,72,216,73,221,91,217
51786,23,95,19,156,15,135
81106,48,240,59,241,126,243
76972,192,36,177,26,145,14
82434,4,94,12,157,26,196
72177,149,38,156,39,199,57
74736,157,35,185,47,189,64
72042,33,167,35,170,13,146
76348,35,177,29,175,34,172
84843,85,191,74,192,80,167
77039,35,188,22,178,17,170
82188,187,27,197,27,217,63
80628,90,125,58,136,18,184
74528,30,156,33,170,33,176
76377,211,108,211,106,191,78
81316,45,203,42,216,61,208
77919,42,190,40,195,104,208
74303,53,218,40,217,51,209
76451,178,43,167,29,147,24
84065,210,39,217,38,223,125
80626,12,139,20,175,44,207
79762,53,215,55,222,70,235
71139,33,170,39,198,42,203
78160,195,56,211,76,216,105
74799,190,59,170,39,128,17
76369,20,162,12,137,15,85
79565,192,41,208,57,222,83
74621,199,40,207,77,209,99
32972,27,54,48,168,63,207
76444,106,204,91,196,67,181
71769,25,132,30,161,36,188
69990,195,32,185,36,145,18
81478,203,69,204,73,203,78
76456,21,150,28,178,53,200
83410,216,116,214,104,200,106
49725,25,139,41,169,29,144
84631,92,202,95,212,81,205
76454,228,75,229,126,207,147
86505,212,28,214,28,217,32
52525,34,104,41,186,119,227
77147,190,35,179,30,149,30
54678,28,159,48,203,48,207
82432,33,138,209,136,237,161
88495,109,44,188,86,191,48
76560,72,181,60,198,65,197
78846,36,187,64,213,98,230
74518,148,34,177,57,192,86
73158,14,163,10,177,12,203
80988,51,143,43,185,48,202
82440,19,172,5,125,8,75
76794,197,51,205,56,205,56
78073,44,207,43,204,63,175
81465,122,240,133,244,138,247
85697,40,204,46,216,58,226
81784,192,43,181,25,171,9
66506,169,33,159,22,147,17
82435,75,228,57,208,12,142
82387,225,76,213,62,194,48
86311,217,55,221,41,229,95
80632,32,165,37,183,52,204
80193,26,124,22,145,28,204
76558,65,199,84,208,127,227
82480,140,40,142,36,154,38
74295,15,137,13,125,15,137
76459,194,60,171,32,175,29
71771,161,33,182,43,194,49
74101,29,169,12,145,21,186
75597,35,183,42,197,50,208
85660,191,30,198,29,211,46
80627,90,247,59,247,170,250
79425,23,148,36,183,68,208
76442,140,22,157,22,171,36
76689,112,31,156,36,190,49
76295,27,202,30,211,55,219
77753,57,174,56,179,81,192
51312,183,60,202,74,224,107
41635,181,91,192,103,185,102
74832,22,162,21,167,22,188
84375,12,142,18,170,34,204
77764,165,38,162,37,142,23
83528,129,36,142,34,125,34
83936,182,21,237,22,140,41
84504,172,43,195,60,207,90
82436,13,144,21,188,38,226
76443,152,21,169,18,177,20
76966,35,148,41,162,44,173
74003,52,150,51,164,50,179
85858,59,217,75,219,91,220
78872,44,155,43,165,87,177
80466,20,169,22,175,31,191
83231,54,200,88,228,133,242
83204,148,24,190,37,212,44
87663,88,176,63,192,57,213
83165,47,141,38,134,41,140
79149,45,221,43,221,38,217
84148,228,136,230,147,230,165
83883,114,154,118,216,105,214
83160,22,125,27,141,36,161
85095,8,100,14,154,31,200
76135,215,55,228,92,234,142
83269,203,66,217,66,226,103
124692,217,66,212,60,202,60
74773,52,200,58,208,65,203
84193,196,48,202,61,205,63
76941,201,35,221,37,232,51
84853,179,45,180,52,148,60
103200,226,139,218,100,202,23
76441,123,206,117,217,90,208
76708,25,200,15,190,28,159
83126,223,99,231,100,243,152
84350,108,200,67,216,39,201
84900,55,224,128,235,136,227
83267,222,75,227,77,232,98
67535,104,164,100,180,106,201
88456,238,128,235,112,221,74
85345,18,151,23,168,43,185
83897,75,209,69,217,70,220
83280,7,69,4,83,10,183
86428,213,89,217,85,226,112
79135,54,201,65,221,60,222
78070,56,218,47,215,48,214
89613,85,29,142,51,194,89
84854,133,42,160,62,180,98
76370,203,47,146,44,109,70
75030,249,89,218,117,182,124
84842,210,28,221,43,228,54
53076,187,49,201,48,219,42
80738,46,142,36,151,34,165
83004,85,228,97,226,85,209
84632,166,241,117,232,91,226
86120,72,140,88,179,109,203
78475,32,0,25,0,212,1
85114,46,189,59,199,68,203
86137,129,63,146,66,218,130
72773,49,160,59,166,81,204
73343,19,147,22,161,26,171
89336,22,92,40,150,64,180
86334,47,168,58,188,64,179
77923,36,130,42,150,56,157
83090,113,226,126,231,81,233
86123,181,24,185,24,206,66
83511,209,44,214,53,215,76
83500,232,94,221,94,209,100
80865,28,121,31,150,33,166
90670,227,57,196,59,94,65
83376,150,20,130,11,135,9
84501,32,159,36,178,38,183
89748,26,142,31,171,49,197
73131,72,185,59,182,60,185
76288,16,61,16,61,16,74
83917,5,86,12,124,29,190
74880,153,33,152,29,144,39
80829,192,35,213,44,225,72
85341,186,38,195,39,183,39
79326,52,211,64,213,92,216
78726,65,148,70,169,67,171
72363,35,156,29,154,18,127
88253,41,182,51,201,68,213
72054,145,11,186,12,226,27
86888,36,202,37,209,78,221
66823,31,187,21,175,29,170
89606,33,175,34,181,60,198
88225,39,184,29,174,24,163
88426,180,54,200,63,217,83
83268,39,177,57,202,92,220
75173,26,205,21,197,19,195
89755,31,149,27,174,21,203
47384,38,192,32,194,35,193
78790,31,153,28,154,24,161
77566,18,108,17,140,21,163
89361,131,26,159,39,180,57
68073,9,101,15,151,24,171
53741,37,156,37,163,39,170
93090,167,35,185,36,187,40
70994,239,44,241,29,244,31
91510,16,146,15,145,20,161
77128,190,55,189,41,183,19
83250,115,29,128,29,139,35
98705,216,176,208,134,197,67
81891,35,209,35,207,39,213
90885,207,32,219,31,229,147
91045,178,19,195,25,216,45
82227,224,78,198,64,147,53
85855,148,39,158,32,177,33
86381,81,98,43,129,19,188
81128,21,160,24,172,32,188
89873,28,124,37,146,40,163
94506,143,148,192,103,194,30
88252,68,214,66,213,81,220
88295,163,44,177,49,197,55
92471,187,28,176,24,151,26
88489,10,226,8,223,9,224
76691,20,90,22,122,41,218
85702,37,185,27,172,19,155
84189,123,36,130,36,147,51
85659,24,109,27,161,31,183
87308,185,64,176,38,170,31
49728,43,229,37,229,32,225
96969,21,132,26,162,46,201
84897,157,34,204,48,229,71
78720,139,19,145,22,169,34
85870,29,180,27,174,8,146
93089,212,52,206,63,200,81
88453,144,21,156,13,212,25
82799,164,31,178,34,190,46
76692,10,157,8,152,8,158
82906,159,30,162,23,179,21
86784,156,52,200,62,226,85
92046,43,193,49,208,75,221
79566,26,174,27,176,26,168
87307,165,91,171,46,208,14
80664,18,214,15,228,31,233
79312,6,97,15,165,57,205
89630,20,130,22,138,27,165
79559,204,49,177,30,146,13
85906,130,35,190,53,230,40
84218,207,64,215,71,220,109
86899,36,155,14,140,20,159
78331,80,193,46,174,36,130
92412,60,172,65,193,67,192
90674,36,98,34,154,42,201
83098,176,38,194,38,205,41
86862,42,190,37,188,20,165
79826,24,182,24,184,31,190
89667,19,162,17,164,23,175
86507,21,169,21,181,35,214
76955,40,152,32,134,28,98
92576,195,30,194,30,161,74
93005,219,56,213,83,176,48
95501,28,152,30,163,36,174
96326,23,170,20,166,27,182
87716,203,102,194,128,190,117
84034,141,79,145,156,29,216
88270,27,142,22,179,46,204
87314,177,59,176,49,184,44
85842,41,191,45,211,75,237
82081,21,161,24,178,40,196
80707,68,222,96,223,96,226
100926,49,205,58,199,92,192
91703,191,44,191,63,137,78
84414,173,55,166,60,181,88
86023,191,45,204,55,211,70
68587,243,53,244,56,245,75
92599,210,49,209,28,215,71
94190,199,73,208,100,197,107
90388,210,76,192,108,166,149
72359,211,38,212,38,212,41
78837,155,32,201,38,223,46
78388,30,208,27,208,49,200
82487,224,16,223,16,225,31
91603,46,216,32,210,14,182
93003,40,207,27,187,24,151
77023,54,177,45,169,29,154
88237,37,148,30,172,33,187
91391,167,44,189,49,174,51
88473,43,132,50,176,95,209
81887,169,54,172,29,173,25
88258,149,11,190,14,215,27
86197,56,208,84,216,135,213
86319,185,33,181,26,168,26
86134,69,225,117,228,152,232
92131,23,149,10,115,7,104
92415,208,43,218,50,227,76
86785,56,203,28,191,11,172
84163,168,108,193,65,193,18
74954,179,48,190,53,211,69
88446,7,66,7,109,36,211
88226,201,72,207,71,201,64
70993,175,34,183,35,189,40
76956,163,40,171,41,170,44
87246,51,232,58,235,68,238
92093,8,194,36,237,122,251
90931,185,72,203,106,214,140
83214,219,65,233,68,240,66
74894,36,166,15,180,56,212
92827,25,128,31,170,28,181
92020,58,209,28,192,21,180
80630,58,188,70,211,57,192
92505,26,133,21,149,26,175
92038,23,225,28,229,31,231
92099,111,15,143,25,180,68
83960,53,108,57,186,50,206
96001,137,27,197,31,234,71
92070,136,15,158,21,205,62
77855,118,185,177,230,183,240
86533,38,128,58,168,66,184
92543,175,38,158,18,186,39
92039,122,183,87,199,45,188
86861,225,58,233,70,241,130
94568,194,43,201,45,214,121
78958,57,10,129,23,168,31
93068,57,209,57,214,77,220
92116,59,212,52,183,44,127
140817,16,186,24,203,41,217
91951,211,58,212,78,196,95
89867,20,127,31,157,51,185
91065,76,212,129,209,79,157
99355,46,219,55,231,70,237
92048,237,166,236,133,231,89
85351,26,152,35,161,28,166
91252,9,103,30,199,29,218
95473,224,46,234,80,243,123
87266,60,207,65,205,91,200
91566,67,194,54,177,28,134
94895,34,164,33,168,28,163
94594,84,171,95,220,131,235
95255,22,114,21,117,28,127
95600,69,14,105,22,158,32
94507,56,195,81,215,95,226
91955,18,147,23,180,39,199
92105,135,33,140,21,153,22
87292,171,77,159,47,191,51
98148,208,73,202,63,178,75
88474,213,88,215,99,215,113
90961,101,211,88,219,156,225
95257,42,217,42,221,123,225
87290,83,193,78,199,96,207
85839,110,20,129,23,152,80
93050,205,62,220,58,238,73
86894,15,176,16,184,14,183
94569,26,138,24,144,23,215
93680,31,173,27,176,34,175
95502,181,60,192,58,194,78
97717,129,241,94,243,100,240
93777,50,176,69,201,62,188
96945,72,194,57,183,48,170
101054,34,170,52,208,80,214
101318,38,134,42,130,145,124
87127,208,59,214,55,226,92
96014,179,76,215,100,229,142
93066,16,127,31,163,49,190
87263,27,186,19,157,16,86
89625,46,175,74,222,101,235
89641,140,243,145,245,145,245
99742,195,65,204,64,217,70
100021,204,97,218,63,216,55
83291,224,40,231,43,234,47
93458,250,158,250,145,250,105
90967,222,5,224,34,226,75
92512,227,83,238,77,240,139
92504,214,34,222,33,234,56
100636,144,31,153,36,160,42
75403,162,18,174,19,201,34
93776,36,135,33,140,44,157
87282,28,146,30,151,35,162
100650,135,14,157,25,167,34
98058,229,62,231,69,233,84
87269,50,147,42,144,48,147
100145,56,165,41,169,26,170
100919,52,74,49,212,91,245
87285,49,222,60,225,65,240
100361,19,187,22,198,29,211
98512,30,186,28,184,27,182
87227,30,212,17,210,28,218
87242,96,214,125,232,151,237
87244,227,34,223,18,229,53
85837,26,180,33,201,47,219
100614,188,41,206,37,218,49
100622,198,47,215,48,244,88
100628,85,226,102,232,122,237
100618,166,35,190,40,203,64
101198,208,44,227,48,234,92
102589,12,72,18,104,39,164
100989,90,6,136,13,192,28
91069,27,157,22,158,23,175
87229,86,235,41,235,173,252
95528,217,41,216,35,225,37
100632,24,153,29,111,43,227
100633,214,54,222,49,244,92
100634,169,52,187,47,200,60
100967,42,128,41,133,68,160
87223,182,94,195,81,237,176
62328,29,143,29,145,28,148
93728,140,31,171,42,190,55
70254,151,53,173,52,182,42
92575,33,176,72,202,62,212
101901,15,115,23,152,33,182
102824,20,156,23,163,32,172
99794,178,51,176,43,172,39
98146,32,205,29,201,30,203
51777,40,149,35,152,32,155
82080,26,216,36,224,52,234
47370,30,207,16,194,6,177
72522,29,138,34,152,37,161
95873,65,165,61,175,36,160
95503,14,188,14,203,73,232
103271,17,168,21,184,25,197
92075,21,149,34,183,75,211
92011,55,183,48,168,36,132
103535,180,53,187,59,193,65
86867,51,176,43,181,34,179
98467,27,145,26,156,28,166
92823,213,43,220,60,226,80
68196,37,177,30,172,23,162
93028,180,48,190,49,197,52
74566,10,80,16,126,20,166
97826,218,57,195,42,155,61
72405,166,56,172,45,190,41
91696,240,57,240,48,242,47
96961,200,64,200,64,199,64
74565,28,139,32,153,38,169
85633,74,243,55,240,49,240
88461,11,135,12,157,17,178
79102,12,86,20,113,49,192
75397,190,56,186,50,181,48
104612,47,177,44,183,63,209
98970,28,150,34,163,39,170
161947,34,118,42,128,43,130
56247,202,44,199,47,192,56
96917,41,178,42,186,49,198
92047,20,138,20,177,97,194
97693,42,163,51,174,78,182
94170,12,100,16,146,57,213
72270,33,160,29,155,20,143
95515,47,172,45,169,42,163
96325,159,60,194,52,182,28
92176,245,65,250,83,252,84
73418,153,28,185,43,184,46
79435,40,191,55,196,71,168
87216,138,215,106,207,75,200
85857,48,170,48,178,39,177
75415,138,247,126,249,61,247
100950,153,35,176,52,191,71
93727,26,140,24,144,28,157
101700,19,182,19,181,21,181
84216,33,177,30,187,31,193
95877,131,193,116,188,76,172
90597,198,45,197,49,198,49
92533,6,122,8,142,13,170
93158,27,122,34,164,75,219
100930,67,160,72,185,71,195
104494,10,114,11,135,21,150
92526,172,28,185,30,208,90
116251,33,113,36,166,103,219
103762,183,78,182,60,159,50
81315,163,49,178,40,199,43
92068,143,54,165,24,198,32
80465,34,151,37,157,38,169
86866,36,155,47,167,57,167
96986,56,180,79,200,119,219
92067,44,210,39,205,33,194
100801,226,57,227,61,229,74
98997,238,43,240,37,243,141
97696,167,37,172,43,156,49
95531,213,17,218,20,230,27
103343,40,215,51,221,152,227
100935,210,106,196,95,169,99
102309,65,181,68,187,41,157
99800,43,165,36,177,31,198
100203,165,40,165,35,164,31
95876,21,146,26,176,38,196
99738,22,141,27,173,39,205
97672,20,129,23,141,40,171
89723,35,180,31,182,28,179
98404,107,20,134,21,189,39
104331,241,130,240,131,236,142
100953,30,151,31,154,38,178
94136,62,192,37,191,23,207
96372,29,175,32,191,67,216
93757,202,15,210,18,211,29
101669,48,207,81,201,113,172
93017,40,157,43,162,45,166
97858,175,60,178,55,161,37
103704,200,118,199,145,187,28
49501,145,32,144,30,144,31
80998,159,53,172,45,177,29
98996,8,168,9,179,14,192
91700,28,1,39,2,223,29
92825,133,19,164,21,184,25
112031,56,227,49,227,75,234
102241,71,140,75,170,88,208
105389,72,233,74,237,87,241
102098,182,61,199,72,176,74
78780,36,171,39,186,42,197
106335,173,60,205,93,178,49
112666,199,46,217,60,227,71
103719,79,239,76,240,73,240
97652,225,60,234,84,233,119
98430,191,48,159,38,69,20
102683,168,35,186,52,192,91
100100,162,82,192,75,217,100
89729,34,182,31,196,32,198
101062,31,159,32,170,37,183
99799,184,49,199,61,207,68
71150,149,40,157,45,174,55
91074,122,29,123,28,170,77
97856,213,53,201,69,159,71
103781,149,16,150,15,177,19
87306,93,211,94,222,127,231
107464,154,13,161,11,184,16
105010,32,202,28,205,47,209
115689,33,172,35,193,41,213
106539,36,193,38,202,53,213
115298,98,125,95,185,93,204
96997,147,49,164,54,185,59
84349,36,133,44,163,51,185
106850,205,83,202,73,201,54
103259,36,169,34,167,39,177
107917,207,72,213,72,224,91
118114,196,102,212,63,229,101
87032,41,196,37,192,51,194
105002,78,219,90,231,124,238
97823,205,51,185,36,143,13
105289,140,80,193,58,218,78
113874,171,61,193,69,199,37
82796,170,103,170,80,148,64
111069,171,33,198,36,214,45
113865,164,52,179,52,198,61
91189,70,191,57,190,43,191
75711,27,129,23,187,26,208
92124,9,169,9,196,9,199
113876,26,177,21,176,37,178
112094,183,59,216,39,201,72
105298,214,136,215,136,214,135
104859,142,120,178,146,204,143
101645,220,37,225,44,224,47
105364,15,182,15,179,21,174
98487,28,189,30,193,44,198
109912,42,226,34,235,85,243
112047,93,253,30,252,157,254
113855,29,196,29,212,154,234
93744,140,17,196,35,211,52
90841,139,193,112,187,33,154
103177,78,11,111,14,137,17
101618,70,236,39,237,105,243
93749,122,24,210,29,232,37
107919,212,44,225,64,237,102
107937,33,173,38,185,43,203
106574,149,26,162,31,186,44
107423,36,178,50,198,85,211
101664,45,167,37,161,35,157
103519,167,44,207,56,230,83
94185,135,141,204,107,199,73
117264,144,43,212,72,231,82
117245,73,211,82,220,97,229
93215,40,186,46,173,49,216
95332,158,18,209,34,238,85
112248,218,27,213,31,215,111
113870,153,51,193,49,210,83
116238,197,25,196,22,187,33
114211,230,54,237,68,244,126
113869,23,113,25,124,44,176
99723,38,180,37,173,100,172
117272,79,223,90,235,126,238
107472,133,42,146,43,164,44
108402,77,156,88,169,118,176
102085,173,229,156,223,127,209
101065,185,31,172,25,135,13
78295,12,130,12,139,19,164
109915,215,57,214,65,217,93
105880,33,221,24,208,22,196
107467,52,180,64,203,114,229
92045,9,84,14,100,21,133
101611,183,48,189,49,212,65
102281,174,10,201,20,218,33
100098,104,221,71,216,15,202
112057,51,194,53,196,58,207
96044,203,66,207,50,191,32
117270,106,45,128,57,173,87
101617,9,151,219,165,246,123
104657,210,68,211,58,236,100
111636,231,76,233,72,236,94
100099,54,194,63,209,79,207
104654,18,153,17,186,21,194
88275,161,68,208,147,218,130
104111,32,131,53,175,59,183
103357,80,138,85,158,86,168
111067,64,210,73,220,126,239
102163,224,44,224,44,225,46
114760,24,139,27,156,31,180
107782,208,83,188,45,229,146
105362,35,191,29,192,122,204
94863,58,215,70,225,162,237
114222,35,231,35,241,103,245
116887,85,16,111,23,194,33
80662,53,163,45,171,33,167
114139,199,95,199,101,198,154
104308,21,99,23,117,52,187
98497,229,130,229,106,218,44
105239,246,126,249,150,250,165
117239,42,218,70,239,112,247
57508,21,137,22,149,23,162
102621,18,134,33,166,19,149
119620,31,126,21,166,43,181
108501,42,200,38,191,41,182
118690,40,176,40,185,48,179
107302,53,223,47,227,47,228
111066,164,52,201,36,233,48
109637,12,184,16,199,34,219
112285,24,80,32,107,29,142
134943,159,23,151,23,165,23
118709,16,142,9,105,12,88
118709,16,142,9,105,12,88
105563,203,46,205,42,206,40
90971,6,151,9,179,32,214
113852,32,159,38,172,70,199
111627,27,6,186,14,232,22
117262,170,58,193,65,207,84
102392,11,159,11,161,24,191
114142,232,81,225,99,217,108
116875,153,32,181,41,215,59
102083,16,171,19,173,8,169
112236,188,42,209,54,226,85
98969,213,74,226,89,244,105
104389,144,69,185,64,231,131
113853,215,78,217,31,240,169
104436,16,119,23,148,44,170
117248,19,102,26,117,38,141
116247,10,91,10,101,14,120
112286,177,58,165,42,172,47
117232,225,85,228,88,231,105
103049,171,13,186,16,209,26
112035,14,105,24,134,44,159
102060,177,49,200,45,221,71
113875,148,55,120,44,214,84
106365,1,33,1,148,2,173
88238,117,25,117,25,130,32
96358,7,162,9,192,23,217
102459,240,32,239,21,240,138
98544,10,128,13,144,29,177
98513,19,144,28,171,58,203
117517,158,63,174,79,166,98
107096,41,90,60,167,76,185
111097,28,135,27,180,64,215
100084,28,128,35,143,52,169
116243,195,58,207,58,232,122
92870,31,144,34,165,46,176
103207,29,136,25,163,32,188
103235,39,193,34,188,39,180
105247,197,66,194,46,168,16
105939,43,188,69,202,100,212
101884,21,13,20,12,213,21
102097,208,79,216,79,235,117
107455,63,213,73,218,79,221
111200,40,156,45,167,56,174
111007,35,171,40,191,46,208
107466,48,132,18,159,35,212
112651,30,222,33,223,87,235
114138,219,69,226,64,247,144
114206,36,169,52,198,95,223
113872,33,202,44,215,114,238
117299,60,215,38,216,109,240
117501,212,61,218,52,243,99
118160,26,199,33,145,53,195
108266,61,218,47,210,50,204
102084,45,147,37,128,93,229
117247,30,222,45,232,68,238
93756,160,51,166,53,165,52
45290,209,58,205,52,191,35
102817,50,172,50,173,41,160
107924,189,39,215,58,232,124
102875,161,57,176,63,187,70
100691,35,162,37,176,39,181
99752,164,47,180,58,188,64
90589,128,24,171,26,202,38
99714,139,48,168,49,185,54
94187,238,100,224,65,202,73
67769,27,155,31,169,40,182
99740,55,174,56,185,54,176
96327,145,44,163,48,167,36
108225,34,142,38,153,42,165
130013,78,164,76,171,87,180
107373,39,142,47,166,70,200
134641,94,172,107,202,115,214
76020,35,185,39,192,42,169
106547,162,31,162,30,169,32
105015,28,180,33,189,25,169
97816,25,134,31,156,29,176
113312,76,224,76,225,118,223
98484,49,181,42,208,29,205
100990,180,63,171,54,125,19
93933,72,191,60,186,51,181
107960,35,165,27,183,37,217
117790,12,175,17,186,21,189
116234,197,109,207,98,207,74
128235,27,142,31,148,29,149
105521,46,184,49,195,75,201
116532,187,67,208,85,219,92
91192,39,147,33,181,41,202
113377,196,33,201,37,204,42
113353,37,136,49,174,66,214
92003,68,251,40,250,6,247
110332,25,83,29,143,37,206
107928,42,132,46,144,43,135
118377,181,35,179,32,177,33
97857,35,168,24,151,23,143
112079,50,241,42,242,63,244
113342,25,145,24,165,65,207
66026,219,57,205,39,195,47
