code,title,관객수,매출액,year,genre,down
115977,베테랑,13414009,105168155250,2015,"['액션', '드라마']",0
121048,암살,12705700,98463132781,2015,"['액션', '드라마']",0
98438,어벤져스:에이지오브울트론,10494499,88582586366,2015,"['액션', '모험', '판타지', 'SF']",0
121788,내부자들,7055332,56465665657,2015,"['범죄', '드라마']",0
114249,킹스맨:시크릿에이전트,6129681,50369009795,2015,"['액션', '스릴러']",0
95541,미션임파서블:로그네이션,6126488,48547353607,2015,"['액션', '모험', '스릴러']",0
102272,연평해전,6043784,45563228330,2015,['드라마'],0
67786,쥬라기월드,5546792,47800698826,2015,"['액션', '모험', 'SF', '스릴러']",0
120157,검은사제들,5442128,42405282092,2015,"['미스터리', '드라마']",0
100647,히말라야,5129409,39469775448,2015,['드라마'],0
115622,인사이드아웃,4969735,38024694936,2015,"['애니메이션', '코미디']",0
129049,마션,4880800,39663145295,2015,"['모험', '드라마', 'SF']",0
77768,매드맥스:분노의도로,3843343,32912842162,2015,"['액션', '모험', '스릴러']",0
118917,인턴,3610564,28517727148,2015,['코미디'],0
109905,분노의질주:더세븐,3247955,26454098694,2015,"['액션', '범죄', '스릴러']",0
69956,터미네이터제니시스,3240370,26556715129,2015,"['액션', '모험', 'SF', '스릴러']",0
122120,극비수사,2860786,22389535897,2015,"['드라마', '범죄']",0
92064,앤트맨,2841795,23529209937,2015,"['액션', 'SF']",0
100072,스타워즈:깨어난포스,2803234,24149478540,2015,"['액션', '모험', '판타지']",0
129408,메이즈러너:스코치트라이얼,2744413,21596946349,2015,"['액션', 'SF', '스릴러']",0
124201,탐정:더비기닝,2625686,20463956973,2015,"['코미디', '범죄']",0
113351,미니언즈,2625599,18998046278,2015,"['애니메이션', '코미디', '가족']",0
118950,스파이,2318748,18417637358,2015,"['코미디', '액션']",0
131560,스파이,2318748,18417637358,2015,[],0
122535,악의연대기,2192525,17361815332,2015,"['범죄', '스릴러']",0
129050,뷰티인사이드,2053435,16148479531,2015,['멜로/로맨스'],0
109982,테이큰3,1860934,15088105000,2015,"['액션', '범죄', '스릴러']",0
99701,007스펙터,1820760,14301476030,2015,"['액션', '모험', '범죄', '스릴러']",0
90596,샌안드레아스,1716455,14435844152,2015,"['액션', '드라마', '스릴러']",0
119966,쎄시봉,1715370,13571515911,2015,"['멜로/로맨스', '드라마']",0
134982,더폰,1593694,12309164568,2015,"['액션', '스릴러']",0
127496,대호,1584168,12104808332,2015,['드라마'],0
129051,성난변호사,1128288,8723650039,2015,"['범죄', '액션']",0
120123,간신,1110246,8946842910,2015,['드라마'],0
134960,그놈이다,1046015,8096427152,2015,['스릴러'],0
129406,미쓰와이프,988451,7387086869,2015,['코미디'],0
122596,몬스터호텔2,962770,7029012585,2015,"['애니메이션', '코미디', '가족']",0
122984,손님,828025,6385937880,2015,"['판타지', '공포']",0
114286,인시디어스3,825517,6396650620,2015,['공포'],0
114225,하트오브더씨,809399,6777420023,2015,"['액션', '모험', '드라마']",0
100643,헝거게임:더파이널,806520,6069167163,2015,"['액션', '판타지']",0
101963,신데렐라,716491,5500502900,2015,['멜로/로맨스'],0
125421,픽셀,681945,5390909947,2015,"['SF', '액션', '코미디']",0
128258,열정같은소리하고있네,654102,4758959902,2015,['드라마'],0
136007,특종:량첸살인기,616481,4754763118,2015,['스릴러'],0
125484,서부전선,609063,4751661400,2015,"['전쟁', '드라마']",0
116254,채피,573661,4620380654,2015,"['액션', '범죄', 'SF', '스릴러']",0
103381,위험한상견례2,472693,3575384754,2015,"['멜로/로맨스', '코미디']",0
134136,명탐정코난:화염의해바라기,471205,3296031400,2015,"['애니메이션', '모험']",0
98149,"협녀,칼의기억",431310,3360045489,2015,"['액션', '드라마']",0
114265,어린왕자,428855,3195586794,2015,"['애니메이션', '판타지']",0
118968,판타스틱4,399667,3029310600,2015,"['액션', 'SF']",0
143253,뽀로로극장판컴퓨터왕국대모험,391760,2902090600,2015,['애니메이션'],0
115303,그레이의50가지그림자,364415,2918598796,2015,"['드라마', '멜로/로맨스']",0
122197,홈,360742,2693335391,2015,"['애니메이션', '모험', '판타지', 'SF']",0
146627,홈,360742,2693335391,2015,[],0
167020,홈,360742,2693335391,2015,[],0
130787,치외법권,346483,2664941005,2015,['액션'],0
118952,에베레스트,332180,3055119748,2015,"['모험', '드라마', '스릴러']",0
125841,스폰지밥3D,325016,2458946200,2015,"['애니메이션', '모험', '코미디', '가족']",0
115520,극적인하룻밤,320884,2610567429,2015,"['멜로/로맨스', '코미디']",0
140139,뮨:달의요정,319384,2333203700,2015,['애니메이션'],0
124013,도리화가,317505,2246950339,2015,['드라마'],0
99096,주피터어센딩,309842,2687549879,2015,"['SF', '액션', '모험']",0
118903,런올나이트,289534,2293671495,2015,"['액션', '범죄', '드라마', '미스터리', '스릴러']",0
119452,인서전트,282662,2158449889,2015,"['SF', '액션']",0
118365,백투더비기닝,266610,2018287400,2015,"['SF', '스릴러']",0
101960,투모로우랜드,265810,2083283000,2015,"['모험', '미스터리', 'SF']",0
129333,스파이브릿지,264872,2049608478,2015,"['드라마', '스릴러']",0
130765,함정,257990,2090877200,2015,"['스릴러', '범죄']",0
125405,하늘을걷는남자,238257,2267273653,2015,"['드라마', '모험']",0
130786,조선마술사,224657,1506449794,2015,['드라마'],0
134134,괴물의아이,223216,1652580816,2015,"['애니메이션', '판타지', '모험']",0
133223,노아의방주:남겨진녀석들,220189,1589433800,2015,['애니메이션'],0
118408,연애의맛,214539,1725990153,2015,"['코미디', '멜로/로맨스']",0
137010,포켓몬더무비XY후파:광륜의초마신,214284,1528041500,2015,"['애니메이션', '모험', '판타지', '가족']",0
127375,더셰프,186511,1482518148,2015,['드라마'],0
119431,팬,186174,1425325592,2015,"['모험', '가족', '판타지']",0
129012,레전드,179738,1436348930,2015,"['액션', '범죄', '드라마']",0
148336,레전드,179738,1436348930,2015,['공포'],0
104426,19곰테드2,170647,1378084400,2015,['코미디'],0
117802,아메리칸울트라,161382,1301387295,2015,"['액션', '코미디']",0
