,year,title,genre,down
100015,2014,천재강아지 미스터 피바디 (Mr. Peabody & Sherman),"['애니메이션', '가족', '모험']",0
100026,2014,1월의 두 얼굴 (The Two Faces of January),['스릴러'],0
100041,2014,소리굽쇠 (Tuning Fork),"['드라마', '가족']",0
100204,2014,더 매니저 (Trust Me),"['드라마', '코미디']",0
100206,2014,니드 포 스피드 (Need for Speed),"['액션', '범죄', '드라마', '스릴러']",0
100610,2014,쓰리데이즈 투 킬 (3 Days to Kill),"['액션', '스릴러', '범죄', '드라마']",0
100640,2014,프리 넙 (The Pre-Nup),['코미디'],0
100644,2014,헝거게임:모킹제이 (The Hunger Games: Mockingjay - Part 1),"['판타지', '액션']",0
100674,2014,더 베러 앤젤스 (The Better Angels),['드라마'],0
100675,2014,유아 낫 유 (You're Not You),['드라마'],0
100676,2014,폭스캐처 (Foxcatcher),"['드라마', '스릴러']",0
100677,2014,타임 투 러브 (Playing It Cool),"['코미디', '멜로/로맨스']",0
100678,2014,아웃캐스트 : 절명도망 (Outcast),"['액션', '모험']",0
100691,2014,트랜스포머: 사라진 시대 (Transformers: Age of Extinction),"['SF', '액션', '모험']",0
100828,2014,나의 독재자 (My Dictator),['드라마'],0
100936,2014,베터 리빙 스루 케미스트리 (Better Living Through Chemistry),"['코미디', '드라마']",0
100987,2014,고질라 (Godzilla),['액션'],0
100990,2014,인투 더 스톰 (Into the Storm),"['액션', '스릴러']",0
101060,2014,데블핸드 (Where the Devil Hides),['스릴러'],0
101083,2014,노 굿 디드 (No Good Deed ),['스릴러'],0
101157,2014,천사적행복,['드라마'],0
101179,2014,천금보모,[],0
101662,2014,유고와 라라: 하늘고래와 구름섬 대모험 (Yugo&Lala;),"['애니메이션', '코미디', '판타지']",0
101842,2014,더 롱기스트 위크 (The Longest Week),"['코미디', '드라마']",0
101848,2014,키핑 룸 (The Keeping Room),['드라마'],0
101923,2014,파츠 퍼 빌리언 (Parts Per Billion ),['SF'],0
101927,2014,데이 케임 투게더 (They Came Together),['코미디'],0
101934,2014,워크 오브 셰임 (Walk of Shame),['코미디'],0
101936,2014,모든 비밀스러운 것들 (Every Secret Thing),['스릴러'],0
101939,2014,꼬마잠수함 올리 2 (Dive Olly Dive : Happy Little Submarines),['애니메이션'],0
101945,2014,더 싱글 맘스 클럽 (The Single Moms Club),"['코미디', '드라마']",0
101948,2014,스크리블러 (The Scribbler),['스릴러'],0
101953,2014,꾸뻬씨의 행복여행 (Hector and the Search for Happiness),"['모험', '드라마']",0
101954,2014,바이올렛 타운 (Violet Town),['드라마'],0
101955,2014,더 로버 (The Rover),"['드라마', '범죄']",0
101959,2014,어 먼스 인 더 컨츄리 (A Month in the Country),['드라마'],0
101961,2014,모뉴먼츠 맨 : 세기의 작전 (The Monuments Men),"['액션', '드라마']",0
101969,2014,마이더스 어드벤쳐 (Mariah Mundi and the Midas Box),"['모험', '가족', '판타지']",0
101971,2014,쉬즈 퍼니 댓 웨이 (She's Funny That Way),['코미디'],0
101972,2014,노벰버 맨 (The November Man),"['액션', '스릴러']",0
101973,2014,리저너블 다우트 (Reasonable Doubt),"['범죄', '스릴러']",0
101974,2014,갓 헬프 더 걸 (God Help the Girl),"['뮤지컬', '멜로/로맨스']",0
101977,2014,인 더 블러드 (In the Blood),"['액션', '범죄', '스릴러']",0
101978,2014,레드 스카이 (Red Sky),['액션'],0
101980,2014,배드 존슨 (Bad Johnson),"['코미디', '판타지']",0
101981,2014,원 스퀘어 마일 (One Square Mile),['드라마'],0
101991,2014,클라이밍 라이프 (Climbing Life),['드라마'],0
101996,2014,더 드롭 (The Drop),"['범죄', '드라마']",0
101997,2014,에버레스트 (Everest),['드라마'],0
101999,2014,모스트 원티드 맨 (A Most Wanted Man),"['스릴러', '드라마']",0
102063,2014,파이널 레시피 (Final Recipe),['드라마'],0
102074,2014,버진 스노우 (White Bird in a Blizzard),"['드라마', '스릴러']",0
102213,2014,킥 (Kick ),"['액션', '코미디', '멜로/로맨스', '스릴러']",0
102293,2014,하늘 높이 (Aloft),['드라마'],0
102601,2014,언 아메리칸 인 할리우드 (An American in Hollywood),['드라마'],0
102648,2014,잭 라이언 : 코드네임 쉐도우 (Jack Ryan: Shadow Recruit),"['액션', '드라마', '스릴러']",0
102649,2014,더 룩어라이크 (The Lookalike ),"['범죄', '드라마', '스릴러']",0
102672,2014,마더 데레사의 편지 (The Letters),['드라마'],0
102686,2014,낫 세이프 포 워크 (Not Safe for Work),['스릴러'],0
102691,2014,고 위드 르 플로 (Go with Le Flo),['멜로/로맨스'],0
102699,2014,여인공화국의 재키 (Jacky In Women's Kingdom),['코미디'],0
102700,2014,해피 뉴 이어 (Happy New Year ),"['액션', '코미디', '드라마']",0
102802,2014,데스페라도 (Desperados),['코미디'],0
102806,2014,세기의 매치 (Pawn Sacrifice),['드라마'],0
102811,2014,송 오브 네임스 (The Song of Names),['드라마'],0
102813,2014,데지레를 찾아서 (Desiree),"['범죄', '드라마', '스릴러']",0
102814,2014,힐링 (Healing),['드라마'],0
102817,2014,해적: 바다로 간 산적 (The Pirates),"['모험', '액션']",0
102821,2014,어 롱 웨이 다운 (A Long Way Down),"['코미디', '드라마']",0
102822,2014,다이아몬드 독스 (Diamond Dogs),['드라마'],0
102826,2014,나를 찾아서 (The Identical ),['드라마'],0
102829,2014,제로 럭스 (Zero Lux),['드라마'],0
102834,2014,비헤이빙 배들리 (Behaving Badly),['코미디'],0
102835,2014,머시 (Mercy),['스릴러'],0
102838,2014,바유 테일즈 (Bayou Tales),['공포'],0
102841,2014,브로큰 돌 (Broken Doll),"['드라마', '멜로/로맨스', '스릴러']",0
102847,2014,몰:데이투킬 (Mall),['드라마'],0
102849,2014,틴에이지 킥스 (Teenage Kicks),['드라마'],0
102851,2014,오픈 윈도우즈 (Open Windows),"['스릴러', '액션', '범죄']",0
102852,2014,레이트 블루머 (Late Bloomer),['코미디'],0
102863,2014,어 퓨어 라이프 (A Pure LIfe),['코미디'],0
102865,2014,리턴 투 제로 (Return to Zero),['드라마'],0
102872,2014,레프트 비하인드: 휴거의 시작 (Left Behind),"['액션', 'SF', '스릴러']",0
102873,2014,토카레브 (Rage),"['액션', '범죄', '스릴러']",0
102875,2014,국제시장 (Ode to My Father),['드라마'],0
102878,2014,엑스터시 나이트 (Experiment Night),"['공포', '스릴러']",0
102881,2014,돌스 하우스 (A Doll's House),['드라마'],0
102894,2014,스키니 딥 (Skinny Dip),"['액션', '드라마']",0
102897,2014,라스트 듀안 (The Last Duane),"['액션', '스릴러', '서부']",0
102898,2014,앰비션 (Ambition),['가족'],0
102958,2014,프랭크 (Frank),"['코미디', '드라마', '미스터리']",0
103008,2014,크로스본즈 (Crossbones),['드라마'],0
103222,2014,신이 보낸 사람 (APOSTLE),['드라마'],0
103236,2014,캠퍼스 어택: 크리스티 처결단 (Kristy),"['공포', '스릴러']",0
103238,2014,라이드 어롱 (Ride Along),"['액션', '코미디']",0
103308,2014,서리얼리스트 (The Surrealist),['드라마'],0
103309,2014,더 사운드 오브 스파잉 (The Sound of Spying),['뮤지컬'],0
103311,2014,메이킹 더 룰 (Making The Rules),"['드라마', '멜로/로맨스']",0
103316,2014,4 ½ 미니츠 (4 ½ Minutes),"['코미디', '드라마']",0
103321,2014,나쁜 이웃들 (Bad Neighbours),['코미디'],0
103322,2014,유 비롱 투 미 (You Belong to Me),['스릴러'],0
103323,2014,당신 없는 일주일 (This Is Where I Leave You),"['코미디', '드라마']",0
103324,2014,리오 2 (Rio 2),"['애니메이션', '모험', '코미디', '가족']",0
103327,2014,도망자2016 (Road to Paloma),"['드라마', '스릴러']",0
103328,2014,일렉트릭 슬라이드 (Electric Slide),"['액션', '범죄', '드라마', '스릴러']",0
103330,2014,할리데이 (Walking on Sunshine),"['뮤지컬', '멜로/로맨스']",0
103331,2014,스윗 프랑세즈 (Suite francaise),"['드라마', '멜로/로맨스', '전쟁']",0
103332,2014,"바티칸, 르 크라이스트 하비트 체즈 레스 보기아 (Vatican, le Christ habite chez les Borgia)",['드라마'],0
103334,2014,올웨이즈 온 마이 마인드 (Always on My Mind),['드라마'],0
103336,2014,도빌 (Deauville),"['드라마', '멜로/로맨스']",0
103341,2014,원더풀 투나잇 (Wonderful Tonight),['코미디'],0
103346,2014,클로저 투 더 문 (Closer to the Moon),"['코미디', '드라마']",0
103348,2014,에너미 오브 맨 (Enemy of Man),['드라마'],0
103349,2014,랜드 오브 스톰스 (Land of Storms),['드라마'],0
103352,2014,프론테라 (Frontera),"['드라마', '서부']",0
103354,2014,세자르 차베스 (Cesar Chavez),['드라마'],0
103360,2014,"찰리, 트레버 앤 어 걸 사바나 (Charlie, Trevor, and a Girl Savannah)","['범죄', '멜로/로맨스', '스릴러']",0
103361,2014,가브리엘 (Gabriel ),"['드라마', '가족', '스릴러']",0
103568,2014,돈 슛! 아이엠 더 기타 맨 (Don't Shoot! I'm the Guitar Man ),['드라마'],0
103569,2014,슬리핑 위드 더 라이언 (Sleeping with the Lion),['스릴러'],0
103655,2014,레드 노트 (Red Knot),['드라마'],0
103656,2014,비치 필로우스 (Beach Pillows),['드라마'],0
103665,2014,프레이 (Prey),['드라마'],0
103667,2014,더 엠 워드 (The M Word),"['코미디', '드라마']",0
103670,2014,굿바이 투 올 댓 (Goodbye to All That),"['코미디', '드라마']",0
103678,2014,아트풀 다저스 (Artful Dodgers ),"['코미디', '드라마', '스릴러']",0
103683,2014,내가 잠들기 전에 (Before I Go to Sleep),"['미스터리', '스릴러']",0
103695,2014,샷건 웨딩 (Shotgun Wedding ),['코미디'],0
103697,2014,블랙 아이드 도그 (Black Eyed Dog),['드라마'],0
103699,2014,한여름 밤의 유혹 (Careful What You Wish For),['스릴러'],0
103755,2014,백발마녀전: 명월천국 (The White Haired Witch Of Lunar Kingdom),"['무협', '판타지', '멜로/로맨스']",0
103760,2014,강남 1970 (Gangnam Blues),"['액션', '드라마']",0
103761,2014,유키카제 (Yukikaze),"['액션', 'SF', '전쟁']",0
103765,2014,아더 우먼 (The Other Woman),"['코미디', '멜로/로맨스']",0
103770,2014,밀리언 웨이즈 (A Million Ways to Die in the West),['코미디'],0
103774,2014,마녀 배달부 키키 (Kiki's Delivery Service),['판타지'],0
103780,2014,오토마타 (Automata),"['SF', '스릴러']",0
104016,2014,더 데드 씨 (The Dead Sea),"['액션', '공포', '스릴러']",0
104036,2014,히트 웨이브 (Heat Wave),['코미디'],0
104364,2014,에일리언어브덕션 (Alien Abduction),"['공포', 'SF', '스릴러']",0
