,year,title,genre,down
100000,2012,더 미러 모텔 (The Mirror Motel),"['범죄', '드라마']",0
100009,2012,박제된 공주 (Briar Rose),"['드라마', '스릴러']",0
100020,2012,츠나구 (Tsunagu),"['드라마', '판타지']",0
100021,2012,신비의 법 (The Mystical Law),"['애니메이션', '판타지']",0
100022,2012,극장판 마법소녀 마도카☆마기카 [전편] 시작의 이야기 (Gekijio-ban Mahou Shojo Madoka Magica Zenpen: Hajimari no Monogatari),"['애니메이션', '판타지', '드라마']",0
100025,2012,래그즈 (Rags),"['코미디', '드라마', '뮤지컬']",0
100030,2012,피를 파는 사나이 (The Blood Seller),['드라마'],0
100040,2012,나만 아는 이야기 (My Little Secret),['드라마'],0
100043,2012,사물함 속 이야기,[],0
100047,2012,디프레셔 (Depressure),['애니메이션'],0
100056,2012,번아웃 신드롬 (Burnout Syndrome),['스릴러'],0
100057,2012,내 마음이 보이니?,"['멜로/로맨스', '코미디']",0
100062,2012,숨비소리 메아리,['드라마'],0
100064,2012,던전스 앤 드래곤스 : 사악한 암흑의 마도서 (Dungeons & Dragons: The Book of Vile Darkness),"['모험', '판타지']",0
100067,2012,아이 미스 유 (I Miss You),"['공포', '멜로/로맨스']",0
100069,2012,드래곤 킹 레전드 (Lord Of The Elves),"['액션', '모험', '판타지']",0
100070,2012,헌티드 하이 (Haunted High),"['SF', '공포']",0
100071,2012,데스 레이스: 인페르노 (Death Race: Inferno),"['액션', 'SF', '스릴러']",0
100073,2012,아라구레 (Aragure),"['액션', '범죄']",0
100085,2012,샤니다루의 꽃 (The Flower of Shanidaru ),"['드라마', '판타지']",0
100089,2012,소름 극장판 (Torihada: The Movie),['공포'],0
100090,2012,"배트맨 : 다크 나이트 리턴즈, 파트 1 (Batman: The Dark Knight Returns, Part 1)","['애니메이션', '액션']",0
100094,2012,"해바라기 - 오키나와는 잊지 않는다, 그날의 하늘을 - (Himawari -Okinawa wa Wasurenai, Ano Nichi no Sora o-)",['드라마'],0
100101,2012,케 펠로 마스 과이,['코미디'],0
100103,2012,데드 쉐도우즈 (Dead Shadows),"['공포', 'SF']",0
100104,2012,관능소녀 복수단 (Girls Against Boys),"['드라마', '스릴러']",0
100105,2012,어몽 프렌즈 (Among Friends),"['코미디', '공포']",0
100107,2012,더 톰슨 (The Thompsons),"['드라마', '공포', '스릴러']",0
100108,2012,카크니즈 vs 좀비스 (Cockneys vs Zombies),"['코미디', '공포']",0
100109,2012,아웃포스트2: 블랙 선 (Outpost: Black Sun),"['액션', '공포']",0
100110,2012,인베이더 (INVADER),['스릴러'],0
100111,2012,옐로우 (Yellow),"['공포', '미스터리']",0
100112,2012,펄 (Pearl),"['판타지', '드라마']",0
100113,2012,룸 606 (Room 606),['드라마'],0
100114,2012,호텔 (Hotel),"['SF', '판타지']",0
100115,2012,먹다 (Eat),['드라마'],0
100116,2012,에즈 휴먼 에즈 애니멀 (As Human as Animal),['공포'],0
100118,2012,라 시우다드 드 가오 펭,"['가족', '판타지']",0
100119,2012,유리스 오멘 (Yuri's Omen),"['드라마', '판타지']",0
100120,2012,셀 카운트 (Cell count),"['공포', 'SF', '스릴러']",0
100124,2012,커뮤니티 (Community),['공포'],0
100126,2012,쿠르바스,['코미디'],0
100127,2012,웨어 더 데드 고 투 다이 (Where the Dead Go to Die),"['애니메이션', '공포']",0
100129,2012,고딕 어쌔신 (Gothic Assassins),"['액션', '드라마', 'SF']",0
100131,2012,크로스 (The Cross),"['공포', '미스터리']",0
100132,2012,타나토모르포즈 (Thanatomorphose),['공포'],0
