,year,title,genre,down
100016,2013,오스틴랜드 (Austenland),"['코미디', '멜로/로맨스']",0
100055,2013,희재,['드라마'],0
100074,2013,소년H (A Boy Called H),"['드라마', '전쟁']",0
100075,2013,깨끗하고 연약한 (Beyond the Memories),"['멜로/로맨스', '드라마']",0
100076,2013,양지의 그녀 (Girl In The Sunny Place),"['멜로/로맨스', '드라마']",0
100077,2013,극장판 은혼 완결편 : 해결사여 영원하라,"['애니메이션', '액션', '코미디', 'SF']",0
100079,2013,파트너 시리즈 X DAY (Aibou Series X DAY),"['범죄', '드라마']",0
100080,2013,바샤우마상과 빅마우스 (Hard Worker and Bigmouth),"['멜로/로맨스', '드라마', '코미디']",0
100081,2013,무사의 레시피 (Bushi no Kondate),"['서사', '드라마', '코미디']",0
100083,2013,에노시마 프리즘 (Enoshima Prism),['드라마'],0
100084,2013,"내 여친은 피규어 (Hello, My Dolly Girlfriend)","['드라마', '판타지']",0
100086,2013,독수리 오형제 (Gatchaman),"['SF', '액션']",0
100087,2013,공각기동대 어라이즈 보더: 1 고스트 페인 (Ghost in the Shell ARISE),"['애니메이션', 'SF', '액션']",0
100088,2013,묻지마 사랑 (BLINDLY IN LOVE),"['드라마', '멜로/로맨스', '코미디']",0
100091,2013,"배트맨 : 다크 나이트 리턴즈, 파트 2 (Batman: The Dark Knight Returns, Part 2)","['애니메이션', '액션']",0
100092,2013,싱싱싱 (Shing Shing Shing),"['가족', '드라마']",0
100095,2013,다큐멘터리 오브 AKB48 노 플라워 위드아웃 레인 : 소녀들은 눈물 뒤에 무엇을 보는가? (Documentary of AKB48: No Flower Without Rain),['다큐멘터리'],0
100096,2013,마메시바 이치로 (Mameshiba Ichiro Futen no Shiba Jiro),['드라마'],0
100097,2013,지옥이 뭐가 나빠 (Why Don't You Play in Hell?),"['드라마', '액션']",0
100098,2013,플래티나 데이터 (Platina Data),"['SF', '범죄', '스릴러']",0
100099,2013,괜찮아 3반 (Nobody's Perfect),['드라마'],0
100100,2013,드래곤볼Z : 신들의 전쟁 (Dragon Ball Z Battle of Gods),"['애니메이션', '액션', '모험', 'SF', '판타지']",0
100106,2013,13 이어리 (13 Eerie),"['공포', '액션']",0
100128,2013,토처 챔버 (Torture Chamber),['공포'],0
100203,2013,프리즈너스 (Prisoners),"['스릴러', '범죄', '드라마']",0
100209,2013,친애적내내 (To My Dear Granny ),"['드라마', '가족']",0
100270,2013,마파 걸 (Marfa Girl),['드라마'],0
100318,2013,수사반장 최일주,['드라마'],0
100342,2013,멜리사 앤 조이 3 (Melissa & Joey),['드라마'],0
100368,2013,배드 에듀케이션 2 (Bad Education),['드라마'],0
100374,2013,문 보이 2 (Moone Boy),['드라마'],0
100375,2013,사랑해요 아저씨,['드라마'],0
100376,2013,인간의 조건,[],0
100380,2013,사우스랜드 5 (Southland),['드라마'],0
100387,2013,캘리포니케이션 시즌6 (Californication),['드라마'],0
100389,2013,로 앤 오더: UK 시즌7 (Law & Order : UK),['드라마'],0
100394,2013,스트라이크 백 시즌4 (Strike Back : Shadow Warfare),['드라마'],0
100398,2013,세계의 끝,['드라마'],0
100399,2013,내 연애의 모든 것,['드라마'],0
100611,2013,더 하비스트 (The Harvest),"['공포', '스릴러']",0
100620,2013,더 베스트 맨 홀리데이 (The Best Man Holiday),['코미디'],0
100639,2013,달라스 바이어스 클럽 (Dallas Buyers Club),['드라마'],0
100642,2013,딜리버리 맨 (Delivery Man),['코미디'],0
100654,2013,또 하나의 약속 (Another Family),['드라마'],0
100661,2013,뮤런 (MEURON),['애니메이션'],0
100723,2013,나는 총알이다 (I'm a Bullet),['애니메이션'],0
100730,2013,우리가 들려줄 이야기 (Stories We Tell),['다큐멘터리'],0
100756,2013,이든 (Eden),['드라마'],0
100759,2013,리우 2096 (Rio 2096: A story of Love and Fury),"['애니메이션', '드라마']",0
100801,2013,롤러코스터 (Fasten Your Seatbelt),['코미디'],0
100803,2013,메리드 앤드 치팅 (Married and Cheating),"['코미디', '멜로/로맨스']",0
100818,2013,미드나잇 게임 (The Midnight Game),"['공포', '스릴러']",0
100819,2013,한 번도 안 해본 여자 (Marbling),"['멜로/로맨스', '코미디']",0
100825,2013,이웃집 꽃미남,"['멜로/로맨스', '코미디', '드라마']",0
100830,2013,다크 스카이 (Dark Skies),"['스릴러', '공포']",0
100833,2013,행복한 낙서,"['드라마', '가족']",0
100916,2013,케이트 맥콜 (The Trials of Cate McCall),"['드라마', '스릴러']",0
100920,2013,어둠 속에서 (Night Moves),"['드라마', '스릴러']",0
100924,2013,페이스 오브 러브 (The Face of Love),"['드라마', '멜로/로맨스']",0
100928,2013,더 룩 오브 러브 (The Look of Love),"['코미디', '드라마']",0
100930,2013,다이노소어 어드벤처 3D (Walking with Dinosaurs 3D),"['애니메이션', '액션', '가족']",0
100931,2013,겨울왕국 (Frozen),"['애니메이션', '모험', '코미디', '가족', '판타지', '뮤지컬']",0
100935,2013,비행기 (Planes),"['애니메이션', '모험', '가족']",0
100948,2013,스뱅갈리 (Svengali),['코미디'],0
100949,2013,CBGB,['드라마'],0
100950,2013,하늘에서 음식이 내린다면 2 (Cloudy with a Chance of Meatballs 2),"['애니메이션', '코미디', '가족', '판타지']",0
100952,2013,겟어웨이 (Getaway),"['액션', '범죄']",0
100953,2013,더 퍼지 (The Purge),"['스릴러', '공포']",0
100960,2013,애니를 위하여 (Decoding Annie Parker),['드라마'],0
100965,2013,빅서 (Big Sur),['드라마'],0
100973,2013,타인의 멜로디,['드라마'],0
100977,2013,쿰바: 반쪽무늬 얼룩말의 대모험 (Khumba),"['애니메이션', '모험', '가족']",0
100984,2013,블러드타이즈 (Blood Ties),"['범죄', '액션', '드라마']",0
100985,2013,제로법칙의 비밀 (The Zero Theorem),"['판타지', 'SF']",0
100991,2013,그랜드 피아노 (Grand Piano),['스릴러'],0
100996,2013,당신이 몰랐던 것들 (Things you didn't know),"['드라마', '멜로/로맨스']",0
100999,2013,1952,"['전쟁', '액션']",0
101000,2013,줄루 범죄도시 (Zulu),"['범죄', '드라마', '스릴러', '액션']",0
101058,2013,오픈 하트 (Open Heart),['다큐멘터리'],0
101059,2013,레이스 2 (Race 2),"['액션', '스릴러', '범죄']",0
101061,2013,더 투 두 리스트 (The To Do List),"['코미디', '멜로/로맨스']",0
101062,2013,스니치 (Snitch),"['액션', '드라마', '스릴러']",0
101063,2013,어드미션 (Admission),['코미디'],0
101064,2013,더 인크레더블 버트 원더스톤 (The Incredible Burt Wonderstone),['코미디'],0
101065,2013,팬텀: 라스트 커맨더 (Phantom ),"['액션', '스릴러']",0
101066,2013,헤비 메이크업 (Heavy Makeup),"['공포', '미스터리', '스릴러']",0
101102,2013,카엔·북의영웅 아테루이전,['드라마'],0
101105,2013,극북 랩소디 (Kyokuhoku Rhapsody),['드라마'],0
101106,2013,라스트 호프 (LAST HOPE),['드라마'],0
101108,2013,레이디 조커 (Lady Joker),['드라마'],0
101110,2013,오늘도 지옥에서 기다릴께요,['드라마'],0
101111,2013,백년의 유산,['드라마'],0
101114,2013,야행 관람차 (Ferris Wheel at Night ),['드라마'],0
101115,2013,생명의 발자국,['드라마'],0
101117,2013,솔개,['드라마'],0
101119,2013,실크 시즌 3 (Silk),['드라마'],0
101120,2013,파더 브라운 시즌1 (Father Brown),['드라마'],0
101128,2013,커플수칙 시즌7 (Rules Of Engagement),['드라마'],0
101129,2013,스파르타쿠스 : 최후의 전쟁 (Spartacus : War of the Damned),"['드라마', '액션', '모험']",0
101180,2013,오로라 공주,['드라마'],0
101181,2013,쉐어 하우스의 연인 (The Lovers of Share House),['드라마'],0
101182,2013,"울지마, 하라짱",['드라마'],0
101183,2013,노부나가의 셰프,['드라마'],0
101190,2013,비브리아 고서당의 사건 수첩 (Antiquarian Bookshop Biblia's Case Files),['드라마'],0
101191,2013,반장 시즌6,['드라마'],0
101248,2013,베스트 오퍼 (The Best Offer),"['범죄', '드라마', '멜로/로맨스']",0
101250,2013,롤러코스터 3,[],0
101252,2013,내 여자친구와 소꿉친구가 완전 수라장,"['애니메이션', '드라마']",0
101253,2013,타마코 마켓,"['애니메이션', '드라마']",0
101254,2013,섬란 카구라,"['애니메이션', '판타지']",0
101255,2013,러브 라이브!,"['애니메이션', '드라마']",0
101258,2013,미나미家 세자매 4기 (Minamike),['애니메이션'],0
101259,2013,코토우라 양,['애니메이션'],0
101262,2013,디나 앤 노엘 (Dina and Noel),['드라마'],0
101263,2013,점심 식사 (Eating Lunch),['드라마'],0
101265,2013,전력질주 (Rhino Full Throttle),"['드라마', '코미디']",0
101267,2013,탕왕 (Tang Wong),[],0
101269,2013,진,['드라마'],0
101272,2013,낯선 땅 (The Cold Lands),['드라마'],0
101273,2013,토끼 공화국 (Rabbitland),['애니메이션'],0
101274,2013,닌자와 군인  (Ninja & Soldier),"['애니메이션', '드라마']",0
101275,2013,레드 프린세시스 (Red Princesses),['드라마'],0
101279,2013,데스퍼레이트 액츠 오브 매직 (Desperate Acts of Magic),['코미디'],0
101281,2013,사사미양@노력하지 않아,"['애니메이션', '판타지', '코미디']",0
101297,2013,진격의 거인,"['애니메이션', '판타지', '액션']",0
101298,2013,현장결제 친구가 쏜다,[],0
101299,2013,손호영의 아시안쿡,[],0
101300,2013,[오페라] 아이다,['공연실황'],0
101440,2013,나는 친구가 적다 NEXT,"['애니메이션', '드라마']",0
101451,2013,궁중잔혹사 - 꽃들의 전쟁,['드라마'],0
101590,2013,더 레볼루셔너리 옵티미스트 (The Revolutionary Optimists),['다큐멘터리'],0
101608,2013,마트루 키 비즈리 카 맨도라,['코미디'],0
101610,2013,몰리의 상대성이론 (Molly's Theory of Relativity),"['드라마', '가족']",0
