,year,title,genre,down
123276,2016,셀: 인류 최후의 날 (Cell),"['공포', 'SF', '스릴러']",0
123295,2016,카 독스 (Car Dogs),"['코미디', '드라마']",0
123519,2016,아가씨 (The Handmaiden),"['스릴러', '드라마']",0
123607,2016,플레어 (FLARE),"['드라마', '멜로/로맨스']",0
124056,2016,렌 앤드 컴퍼니 (Len and Company),"['드라마', '코미디']",0
124098,2016,더 이벤트 (The Event),"['공포', '스릴러']",0
124202,2016,록키 핸섬 (Rocky Handsome),['액션'],0
124203,2016,라스트 페이스 (The Last Face),['드라마'],0
124222,2016,더 픽서 (The Fixer),"['드라마', '스릴러', '전쟁']",0
124257,2016,니나 (Nina),['드라마'],0
124266,2016,매직 (Magik),"['애니메이션', '판타지']",0
124268,2016,하유교목 아망천당 (Sweet Sixteen),"['멜로/로맨스', '드라마']",0
124273,2016,쿼리 (Quarry),['드라마'],0
124299,2016,어 서커스 테일 & 어 러브 송 (A Circus Tale & A Love Song),"['드라마', '멜로/로맨스']",0
124300,2016,온 더 밀키 로드 (On the Milky Road),"['드라마', '코미디', '판타지']",0
125401,2016,몬스터 콜 (A Monster Calls),"['드라마', '판타지']",0
125404,2016,더 다크니스 (The Darkness),"['공포', '스릴러']",0
125414,2016,스타트렉 비욘드 (Star Trek Beyond),"['액션', '모험', 'SF', '스릴러']",0
125417,2016,파도가 지나간 자리 (The Light Between Oceans),"['드라마', '멜로/로맨스']",0
125423,2016,트리플 9 (Triple 9),"['범죄', '스릴러']",0
125436,2016,포레스트: 죽음의 숲 (The Forest),['공포'],0
125444,2016,제5침공 (The 5th Wave),"['모험', 'SF', '스릴러']",0
125445,2016,인 어 밸리 오브 바이얼런스 (In a Valley of Violence),['서부'],0
125447,2016,오두막 (The Shack),"['드라마', '판타지']",0
125453,2016,크래니움 인텔 (Cranium Intel),"['애니메이션', '액션', '모험', 'SF', '스릴러']",0
125457,2016,"헤일, 시저! (Hail, Caesar!)","['코미디', '드라마']",0
125459,2016,닥터 스트레인지 (Doctor Strange),"['액션', '모험', '판타지']",0
125461,2016,네온 데몬 (The Neon Demon),['스릴러'],0
125468,2016,벤허 (Ben-Hur),"['모험', '드라마']",0
125469,2016,몬스터 트럭 (Monster Trucks),"['애니메이션', '액션', '모험', '코미디', '가족', 'SF']",0
125471,2016,하프 더 퍼펙트 월드 (Half the Perfect World),"['코미디', '드라마', '멜로/로맨스']",0
125477,2016,그림스비: 용감한 형제 (Grimsby),"['액션', '코미디']",0
125480,2016,바이러스 (Viral),"['드라마', '공포', 'SF']",0
125489,2016,아메리칸 패스토럴 (American Pastoral),"['범죄', '드라마']",0
126005,2016,배드 랩 (Bad Rap),['다큐멘터리'],0
126024,2016,탈로이도 (Escape Route),"['액션', '코미디']",0
126032,2016,수어사이드 스쿼드 (Suicide Squad),['액션'],0
126034,2016,그레이트 월 (The Great Wall),"['액션', '판타지']",0
126055,2016,달나라에 사는 여인 (From the Land of the Moon),"['드라마', '멜로/로맨스']",0
126079,2016,웨잇 틸 헬렌 컴즈 (Wait Till Helen Comes),"['가족', '판타지', '스릴러']",0
126082,2016,하드 셀 (Hard Sell),[],0
126083,2016,골드 랜섬 (Take Down),"['스릴러', '액션']",0
126211,2016,노 리즌스 (No Reasons),"['드라마', '공포', '스릴러']",0
126212,2016,데스 워크 (Death Walks),['공포'],0
126654,2016,스크림 더 데빌 (Scream at the Devil),"['미스터리', '스릴러']",0
126961,2016,중독노래방 (Karaoke Crazies),"['미스터리', '판타지']",0
127322,2016,폴링 스노우 (Despite the Falling Snow),"['멜로/로맨스', '스릴러', '드라마']",0
127323,2016,블러드 파더 (Blood Father),"['액션', '범죄', '드라마', '스릴러']",0
127326,2016,파도인 (See You Tomorrow),"['코미디', '멜로/로맨스']",0
127333,2016,위스키 탱고 폭스트롯 (Whiskey Tango Foxtrot),"['코미디', '전쟁']",0
127337,2016,더 리스트 (The List),"['코미디', '멜로/로맨스']",0
127349,2016,엠퍼러 (Emperor),"['모험', '스릴러']",0
127376,2016,나이스 가이즈 (The Nice Guys),"['범죄', '액션', '코미디']",0
127378,2016,아이스 에이지: 지구 대충돌 (Ice Age: Collision Course),"['애니메이션', '모험', '코미디', '가족']",0
127383,2016,미인어 (The Mermaid),"['코미디', '판타지', '멜로/로맨스']",0
127390,2016,위풍당당 질리 홉킨스 (The Great Gilly Hopkins),"['코미디', '드라마', '가족']",0
127392,2016,마스터 클렌즈 (The Master Cleanse),"['코미디', '드라마', '판타지', '공포']",0
127395,2016,크리미널 (Criminal),"['액션', '범죄', '드라마', '미스터리', '스릴러']",0
127396,2016,캡틴 판타스틱 (Captain Fantastic),['드라마'],0
127481,2016,라이드 어롱 2 (Ride Along 2),"['액션', '코미디']",0
127865,2016,런던 해즈 폴른 (London Has Fallen),"['액션', '범죄', '스릴러']",0
127969,2016,선택당한 자 4 (Chosen),[],0
128273,2016,엽기적인 그녀 2 (My New Sassy Girl),"['멜로/로맨스', '코미디']",0
128343,2016,더 마스크드 세인트 (The Masked Saint),"['액션', '범죄', '드라마', '가족', '판타지']",0
129002,2016,맥스 스틸 (Max Steel),"['액션', '모험', 'SF']",0
129021,2016,더 티켓 (The Ticket),['드라마'],0
129029,2016,비엔나 앤 더 팬텀즈 (Viena and the Fantomes),"['드라마', '멜로/로맨스']",0
129030,2016,요가 호저스 (Yoga Hosers),"['코미디', '판타지', '공포', '스릴러']",0
129038,2016,킥복서 리턴즈 (Kickboxer: Vengeance),['액션'],0
129041,2016,템프스 (Temps),"['코미디', '멜로/로맨스']",0
129043,2016,토탈 프랫 무비 (Total Frat Movie),[],0
129055,2016,우리를 침범하는 것들 (Trespass Against Us),"['액션', '범죄', '드라마', '스릴러']",0
129057,2016,더 홀라스 (The Hollars),"['코미디', '드라마', '가족']",0
129065,2016,파이니스트 아워 (The Finest Hours),"['모험', '드라마', '스릴러']",0
129066,2016,그 규칙은 당신에게 적용되지 않아요 (Rules Don't Apply),"['코미디', '드라마', '멜로/로맨스']",0
129067,2016,슈가 마운틴 (Sugar Mountain),"['드라마', '스릴러']",0
129082,2016,더 디스어포인트먼트 룸 (The Disappointments Room),"['드라마', '스릴러', '공포']",0
129096,2016,히야 (HIYA),['드라마'],0
129098,2016,홍금보의 보디가드 (The Bodyguard),"['액션', '드라마', '범죄']",0
129331,2016,오 마이 그랜파 (Dirty Grandpa),['코미디'],0
129383,2016,미스 페레그린과 이상한 아이들의 집 (Miss Peregrine's Home For Peculiar Children),"['판타지', '미스터리']",0
129394,2016,뷰티풀 마인드,[],0
129461,2016,인페르노 (Inferno),"['미스터리', '스릴러']",0
129608,2016,슬롯머신:하나씩 벗기기 (Slot Machine Western Tsubaki),[],0
130713,2016,루시드 드림 (Lucid Dream),"['SF', '스릴러']",0
130806,2016,메이킹 패밀리 (Making Family),"['멜로/로맨스', '드라마']",0
130849,2016,모아나 (Moana),"['애니메이션', '모험', '코미디', '가족', '판타지', '뮤지컬']",0
