순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
750,섹슈얼 어딕션 : 꽃잎에 느껴지는 쾌락과 통증,2013.9.5,"3,770,000",0.0%,884,18,33,미국,미국,"(주)팝엔터테인먼트,(주)제이엠씨미디어"
751,필스,2013.11.21,"6,434,000",0.0%,883,6,52,영국,영국,(주)앤드플러스미디어웍스
752,연인,1992.6.20,"5,839,000",0.0%,874,31,122,프랑스,프랑스,(주)팝엔터테인먼트
753,위대한 밀로크로제,2013.1.17,"5,954,500",0.0%,871,11,130,일본,일본,이미지팩토리
754,프레셔스,2013.1.10,"6,023,400",0.0%,851,3,59,미국,미국,씨네그루(주)다우기술
754,안나 볼레나,2013.2.28,"20,899,500",0.0%,851,2,50,독일,독일,(주)케빈앤컴퍼니
756,산딸기,2013.5.16,"6,572,000",0.0%,850,1,70,스웨덴,스웨덴,㈜영화사 백두대간
757,필름 소셜리즘,2013.3.28,"5,962,500",0.0%,845,7,112,프랑스,프랑스,(재)전주국제영화제조직위원회
758,겨울여자,1977.9.27,"1,773,000",0.0%,834,1,6,한국,한국,
759,두더지,2013.10.31,"5,958,400",0.0%,833,4,78,일본,일본,(주)수키픽쳐스
760,심플 라이프,2012.11.22,"5,866,000",0.0%,830,3,50,홍콩,홍콩,(주)미로비젼
760,카르페디엠,2013.6.27,"6,388,000",0.0%,830,1,22,네덜란드,네덜란드,프리비젼엔터테인먼트
762,리멤버,2012.12.13,"4,653,000",0.0%,825,3,32,독일,독일,(주)씨타마운틴픽쳐스
763,화이트 크리스마스,,"1,644,000",0.0%,822,1,25,미국,미국,
764,스프링 브레이커스,2013.7.25,"6,612,000",0.0%,818,2,65,미국,미국,(주)누리픽쳐스
765,군사통제구역 팔이공지대,2013.7.25,"5,950,000",0.0%,813,3,14,한국,한국,골든타이드픽처스(주)
766,토스카,2013.4.13,"19,779,500",0.0%,812,2,50,독일,독일,(주)케빈앤컴퍼니
767,러브씬,2013.10.3,"3,775,000",0.0%,805,4,20,한국,한국,골든타이드픽처스(주)
768,타잔 3D,2014.1.9,"9,904,000",0.0%,803,1,4,독일,독일,(주)싸이더스
769,어둠 속의 빛,2013.4.11,"5,186,000",0.0%,800,7,121,폴란드,"폴란드,독일",(주)씨타마운틴픽쳐스
770,오텔로,2013.4.13,"20,629,000",0.0%,793,2,43,미국,미국,(주)인스터피씨엠
771,청춘극장,1975.9.20,"1,572,000",0.0%,786,1,15,한국,한국,
772,돈 지오반니,2012.2.29,"9,696,000",0.0%,784,1,16,미국,미국,(주)인스터피씨엠
773,라 트라비아타,2012.10.23,"10,658,000",0.0%,782,1,27,미국,미국,(주)인스터피씨엠
774,아름다운 팔도강산,1972.1.1,"1,562,000",0.0%,781,1,27,한국,한국,
775,포스터,2013.12.19,"3,210,000",0.0%,770,4,16,영국,영국,(주)에이씨피컴퍼니
776,사랑은 마법처럼,2013.11.14,"5,202,500",0.0%,765,6,114,프랑스,프랑스,찬란
777,텔레비전,2013.11.7,"4,713,000",0.0%,759,4,71,기타,"기타,독일",(주)엣나인필름
778,콩가네,2013.7.11,"5,451,500",0.0%,755,5,73,한국,한국,프리비젼엔터테인먼트
779,화벽,2012.9.20,"1,580,000",0.0%,750,1,3,중국,중국,(주)영화사폴
780,노다지,,"1,498,000",0.0%,749,1,28,한국,한국,
781,노 원 리브스,2013.8.29,"5,199,000",0.0%,748,6,60,미국,미국,씨네그루(주)다우기술
782,철부지 아씨,1968.3.14,"1,482,000",0.0%,741,1,27,한국,한국,
783,"가장 따뜻한 색, 블루",2014.1.16,"5,854,000",0.0%,726,1,3,프랑스,프랑스,판씨네마(주)
784,연산군,1962.1.1,"1,449,000",0.0%,724,1,20,한국,한국,
785,키스,2013.3.7,"6,011,000",0.0%,722,2,26,한국,한국,(주)마노엔터테인먼트
786,징기스칸,1977.3.18,"1,446,000",0.0%,715,1,16,미국,미국,
787,행복한 두더지,,"357,000",0.0%,714,1,7,한국,한국,
787,내가 책이라면,,"357,000",0.0%,714,1,7,,,
787,빨간 사과 하나,,"357,000",0.0%,714,1,7,,,
787,바다,,"357,000",0.0%,714,1,7,,,
787,과장된 자연 이야기,,"357,000",0.0%,714,1,7,,,
787,섬 위의 주먹,,"357,000",0.0%,714,1,7,,,
787,분수의 기억을 더듬으며,,"357,000",0.0%,714,1,7,한국,한국,
787,내 빨간 풍선,,"357,000",0.0%,714,1,7,,,
787,로켓보이,,"357,000",0.0%,714,1,7,,,
787,장난감 병정의 사랑,,"357,000",0.0%,714,1,7,,,
797,태아 3D,2013.4.18,"8,309,500",0.0%,712,7,42,한국,한국,(주)팝엔터테인먼트
798,밀프,2013.6.20,"1,456,000",0.0%,708,1,11,미국,미국,(주)스넵쏘울
798,귀로(歸路),,"1,416,000",0.0%,708,2,26,한국,한국,
800,2012,2009.11.12,"7,898,000",0.0%,707,20,190,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
801,남태평양,1971.8.7,"1,412,000",0.0%,706,1,12,미국,미국,
802,달콤한 인생,,"1,834,000",0.0%,705,1,19,이탈리아,"이탈리아,프랑스",
803,삼손과 데릴라,1974.12.21,"1,406,000",0.0%,696,1,16,미국,미국,
804,화이트 스완,2013.12.19,"2,790,000",0.0%,690,5,21,미국,"미국,러시아",포커스 온
805,북북서로 진로를 돌려라,,"1,378,000",0.0%,689,1,19,미국,미국,
805,십계,1973.6.16,"1,384,000",0.0%,689,1,8,미국,미국,
807,의사 안중근,1972.2.16,"1,184,000",0.0%,684,1,9,한국,한국,
808,로빈슨 주교의 두 가지 사랑,2013.11.14,"5,007,000",0.0%,682,4,57,미국,미국,(주)레인보우팩토리
808,"지난 여름, 갑자기",2012.11.15,"2,431,500",0.0%,682,4,83,한국,한국,(주)시네마달
808,남쪽으로 간다,2012.11.15,"2,431,500",0.0%,682,4,83,한국,한국,(주)시네마달
