순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,도둑들,2012.7.25,"93,664,808,500",6.4%,"12,983,178","1,091","155,392",한국,"한국,홍콩",(주)쇼박스
2,"광해, 왕이 된 남자",2012.9.13,"88,899,448,769",6.1%,"12,319,390","1,001","203,400",한국,한국,씨제이이앤엠(주)
3,어벤져스,2012.4.26,"59,557,853,478",4.1%,"7,074,867",967,"109,697",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
4,늑대소년,2012.10.31,"46,590,107,000",3.2%,"6,654,390",854,"109,069",한국,한국,씨제이이앤엠(주)
5,다크 나이트 라이즈,2012.7.19,"47,644,838,000",3.3%,"6,396,528","1,210","81,254",미국,"미국,영국",워너브러더스 코리아(주)
6,바람과 함께 사라지다,2012.8.8,"34,614,661,161",2.4%,"4,909,937",694,"78,591",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
7,어메이징 스파이더맨,2012.6.28,"41,163,951,235",2.8%,"4,853,123","1,118","92,755",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
8,범죄와의 전쟁: 나쁜놈들 전성시대,2012.2.2,"36,538,823,500",2.5%,"4,719,872",713,"91,889",한국,한국,(주)쇼박스
9,내 아내의 모든 것,2012.5.17,"34,223,620,500",2.4%,"4,598,821",563,"91,773",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
10,연가시,2012.7.5,"32,175,400,664",2.2%,"4,515,833",759,"71,928",한국,한국,씨제이이앤엠(주)
11,건축학개론,2012.3.22,"30,222,696,000",2.1%,"4,111,068",593,"106,067",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
12,댄싱퀸,2012.1.18,"30,130,775,500",2.1%,"4,058,225",544,"80,987",한국,한국,씨제이이앤엠(주)
13,부러진 화살,2012.1.18,"25,878,629,500",1.8%,"3,451,025",530,"71,560",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
14,맨 인 블랙 3,2012.5.24,"27,301,520,070",1.9%,"3,379,762",770,"69,538",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
15,레미제라블,2012.12.19,"23,428,605,500",1.6%,"3,210,107",696,"33,153",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
16,26년,2012.11.29,"21,111,878,145",1.5%,"2,940,475",611,"50,044",한국,한국,"(주)인벤트스톤,영화사청어람(주)"
17,내가 살인범이다,2012.11.8,"20,392,266,000",1.4%,"2,729,798",547,"58,409",한국,한국,(주)쇼박스
18,브레이킹 던 part2,2012.11.15,"18,909,583,065",1.3%,"2,654,817",665,"56,995",미국,미국,(주)넥스트엔터테인먼트월드(NEW)
19,후궁 : 제왕의 첩,2012.6.6,"19,330,302,500",1.3%,"2,636,320",624,"69,104",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
20,호빗: 뜻밖의 여정,2012.12.13,"21,724,069,066",1.5%,"2,605,124","1,028","44,977",미국,"미국,뉴질랜드",워너브러더스 코리아(주)
21,미션임파서블:고스트프로토콜,2011.12.15,"19,536,876,000",1.3%,"2,533,735",697,"53,514",미국,미국,씨제이이앤엠(주)
22,화차,2012.3.8,"18,459,428,000",1.3%,"2,436,438",548,"62,643",한국,한국,필라멘트픽쳐스
23,이웃사람,2012.8.22,"18,088,462,369",1.2%,"2,434,269",600,"56,752",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
24,007 스카이폴,2012.10.26,"17,487,213,000",1.2%,"2,376,145",748,"51,357",미국,"미국,영국",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
